4/3/25 19:33:0, Microphone: 176, Temp =  83.29, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.35
4/3/25 19:34:11, Microphone: 21, Temp =  82.78, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.87, GyroZ =  0.28

4/3/25 19:34:12, Microphone: 55, Temp =  82.84, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.49

4/3/25 19:34:13, Microphone: 1, Temp =  82.88, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.21

4/3/25 19:34:14, Microphone: -8, Temp =  82.84, AccX =  -0.10, AccY =  0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.28

4/3/25 19:34:15, Microphone: 0, Temp =  82.89, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  -0.07, GyroY =  -2.94, GyroZ =  0.28

4/3/25 19:34:17, Microphone: 1, Temp =  82.84, AccX =  -0.10, AccY =  -0.01, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.08, GyroZ =  0.21

4/3/25 19:34:18, Microphone: 28, Temp =  82.88, AccX =  -0.10, AccY =  -0.01, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.35

4/3/25 19:34:19, Microphone: 68, Temp =  82.85, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.73, GyroZ =  0.35

4/3/25 19:34:20, Microphone: -71, Temp =  82.81, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.80, GyroZ =  0.42

4/3/25 19:34:21, Microphone: -22, Temp =  82.77, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.35

4/3/25 19:34:23, Microphone: 2, Temp =  82.84, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.14, GyroY =  -3.01, GyroZ =  0.28

4/3/25 19:34:24, Microphone: 27, Temp =  82.86, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  -0.14, GyroY =  -3.08, GyroZ =  0.28

4/3/25 19:34:25, Microphone: 2, Temp =  82.84, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.14, GyroY =  -2.87, GyroZ =  0.21

4/3/25 19:34:26, Microphone: -136, Temp =  82.84, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.14, GyroY =  -2.94, GyroZ =  0.42

4/3/25 19:34:27, Microphone: 34, Temp =  82.81, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  -0.14, GyroY =  -3.08, GyroZ =  0.35

4/3/25 19:34:29, Microphone: -47, Temp =  82.82, AccX =  -0.09, AccY =  0.00, AccZ =  1.01, GyroX =  -0.21, GyroY =  -3.08, GyroZ =  0.49

4/3/25 19:34:30, Microphone: -64, Temp =  82.83, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.35

4/3/25 19:34:31, Microphone: -1, Temp =  82.82, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.14, GyroY =  -2.80, GyroZ =  0.14

4/3/25 19:34:32, Microphone: 0, Temp =  82.81, AccX =  -0.10, AccY =  -0.01, AccZ =  1.00, GyroX =  0.77, GyroY =  -3.71, GyroZ =  0.42

4/3/25 19:34:34, Microphone: -12, Temp =  82.86, AccX =  -0.10, AccY =  -0.01, AccZ =  1.00, GyroX =  0.28, GyroY =  -3.22, GyroZ =  0.49

4/3/25 19:34:35, Microphone: -181, Temp =  82.86, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.14, GyroY =  -3.36, GyroZ =  0.35

4/3/25 19:34:36, Microphone: -42, Temp =  82.81, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.35

4/3/25 19:34:37, Microphone: -20, Temp =  82.86, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.80, GyroZ =  0.35

4/3/25 19:34:39, Microphone: -20, Temp =  82.89, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.80, GyroZ =  0.21

